DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
091,Erving,2016,94534900.00 ,513.00 ,184279.00 ,1246.00 ,336
091,Erving,2017,95374500.00 ,515.00 ,185193.00 ,1289.00 ,
092,Essex,2009,512870000.00 ,981.00 ,522803.00 ,6221.00 ,42
092,Essex,2010,534975400.00 ,981.00 ,545337.00 ,6686.00 ,39
092,Essex,2011,508245100.00 ,986.00 ,515462.00 ,7021.00 ,40
092,Essex,2012,483780200.00 ,986.00 ,490649.00 ,7060.00 ,40
092,Essex,2013,484930200.00 ,983.00 ,493317.00 ,7474.00 ,39
092,Essex,2014,475940800.00 ,981.00 ,485159.00 ,7394.00 ,42
092,Essex,2015,479030500.00 ,984.00 ,486820.00 ,7507.00 ,45
092,Essex,2016,492650200.00 ,985.00 ,500152.00 ,7887.00 ,44
092,Essex,2017,529585900.00 ,989.00 ,535476.00 ,8203.00 ,
093,Everett,2009,,,,,
093,Everett,2010,,,,,
093,Everett,2011,,,,,
093,Everett,2012,,,,,
093,Everett,2013,,,,,
093,Everett,2014,,,,,
093,Everett,2015,,,,,
093,Everett,2016,,,,,
093,Everett,2017,,,,,
094,Fairhaven,2009,1582426500.00 ,5369.00 ,294734.00 ,2446.00 ,309
094,Fairhaven,2010,1530079200.00 ,5373.00 ,284772.00 ,2532.00 ,306
094,Fairhaven,2011,1458619200.00 ,5379.00 ,271169.00 ,2592.00 ,309
094,Fairhaven,2012,1412142200.00 ,5379.00 ,262529.00 ,2696.00 ,304
094,Fairhaven,2013,1397727700.00 ,5386.00 ,259511.00 ,2795.00 ,304
094,Fairhaven,2014,1334486400.00 ,5388.00 ,247678.00 ,2848.00 ,306
094,Fairhaven,2015,1332331600.00 ,5396.00 ,246911.00 ,3000.00 ,301
094,Fairhaven,2016,1374573000.00 ,5398.00 ,254645.00 ,3102.00 ,306
094,Fairhaven,2017,1427320300.00 ,5405.00 ,264074.00 ,3179.00 ,
095,Fall River,2009,2154148800.00 ,8601.00 ,250453.00 ,2019.00 ,323
095,Fall River,2010,2040727500.00 ,8626.00 ,236579.00 ,2139.00 ,321
095,Fall River,2011,1968271200.00 ,8684.00 ,226655.00 ,2319.00 ,318
095,Fall River,2012,1875870000.00 ,8703.00 ,215543.00 ,2367.00 ,321
095,Fall River,2013,1834194100.00 ,8736.00 ,209958.00 ,2505.00 ,315
095,Fall River,2014,1817294300.00 ,8788.00 ,206793.00 ,2601.00 ,315
095,Fall River,2015,1828008500.00 ,8839.00 ,206812.00 ,2705.00 ,314
095,Fall River,2016,1847168300.00 ,8882.00 ,207968.00 ,2835.00 ,314
095,Fall River,2017,1911202100.00 ,8979.00 ,212852.00 ,2980.00 ,
096,Falmouth,2009,9440244900.00 ,18098.00 ,521618.00 ,3171.00 ,221
096,Falmouth,2010,8909987800.00 ,18080.00 ,492809.00 ,3326.00 ,214
096,Falmouth,2011,8888790200.00 ,18114.00 ,490714.00 ,3533.00 ,196
096,Falmouth,2012,8533651300.00 ,18158.00 ,469966.00 ,3656.00 ,198
096,Falmouth,2013,8568247400.00 ,18180.00 ,471301.00 ,3789.00 ,195
096,Falmouth,2014,8691191700.00 ,18201.00 ,477512.00 ,3892.00 ,199
096,Falmouth,2015,8905198400.00 ,18229.00 ,488518.00 ,4001.00 ,204
096,Falmouth,2016,9002985300.00 ,18253.00 ,493233.00 ,4128.00 ,205
096,Falmouth,2017,9115822700.00 ,18292.00 ,498350.00 ,4251.00 ,
097,Fitchburg,2009,1323507500.00 ,6392.00 ,207057.00 ,2630.00 ,287
097,Fitchburg,2010,1192621200.00 ,6410.00 ,186056.00 ,2687.00 ,290
097,Fitchburg,2011,1122206600.00 ,6446.00 ,174093.00 ,2820.00 ,285
097,Fitchburg,2012,1068786500.00 ,6465.00 ,165319.00 ,2913.00 ,284
097,Fitchburg,2013,1014161200.00 ,6481.00 ,156482.00 ,2981.00 ,286
097,Fitchburg,2014,1007511200.00 ,6490.00 ,155241.00 ,3078.00 ,288
097,Fitchburg,2015,1013182300.00 ,6502.00 ,155826.00 ,3222.00 ,281
097,Fitchburg,2016,1029905800.00 ,6518.00 ,158009.00 ,3355.00 ,279
097,Fitchburg,2017,1074995900.00 ,6535.00 ,164498.00 ,3535.00 ,
098,Florida,2009,46356200.00 ,291.00 ,159300.00 ,1112.00 ,335
098,Florida,2010,46575900.00 ,292.00 ,159507.00 ,1276.00 ,334
098,Florida,2011,45038700.00 ,292.00 ,154242.00 ,1246.00 ,335
098,Florida,2012,44526800.00 ,295.00 ,150938.00 ,1245.00 ,335
098,Florida,2013,44723800.00 ,295.00 ,151606.00 ,1325.00 ,336
098,Florida,2014,44973000.00 ,296.00 ,151936.00 ,1358.00 ,335
098,Florida,2015,45524600.00 ,296.00 ,153799.00 ,1389.00 ,335
098,Florida,2016,45502400.00 ,295.00 ,154245.00 ,1438.00 ,334
098,Florida,2017,45472000.00 ,294.00 ,154667.00 ,1474.00 ,
099,Foxborough,2009,1696271000.00 ,4106.00 ,413120.00 ,4507.00 ,99
099,Foxborough,2010,1654236600.00 ,4210.00 ,392930.00 ,4633.00 ,100
099,Foxborough,2011,1629281800.00 ,4222.00 ,385903.00 ,4994.00 ,89
099,Foxborough,2012,1595863400.00 ,4235.00 ,376827.00 ,5174.00 ,88
099,Foxborough,2013,1594393900.00 ,4241.00 ,375948.00 ,5466.00 ,84
099,Foxborough,2014,1588387100.00 ,4265.00 ,372424.00 ,5583.00 ,86
099,Foxborough,2015,1626867090.00 ,4284.00 ,379754.00 ,5768.00 ,86
099,Foxborough,2016,1746060500.00 ,4298.00 ,406250.00 ,6021.00 ,85
099,Foxborough,2017,1775541400.00 ,4302.00 ,412725.00 ,6207.00 ,
100,Framingham,2009,4921956600.00 ,13338.00 ,369018.00 ,4734.00 ,88
100,Framingham,2010,4575143100.00 ,13343.00 ,342887.00 ,4979.00 ,85
100,Framingham,2011,4331822600.00 ,13361.00 ,324214.00 ,5197.00 ,82
100,Framingham,2012,4556448100.00 ,13368.00 ,340847.00 ,5774.00 ,64
100,Framingham,2013,4336186300.00 ,13377.00 ,324152.00 ,5783.00 ,71
100,Framingham,2014,4336780200.00 ,13394.00 ,323785.00 ,5922.00 ,71
100,Framingham,2015,4479042600.00 ,13409.00 ,334033.00 ,5952.00 ,82
100,Framingham,2016,4688782300.00 ,13437.00 ,348946.00 ,6065.00 ,83
100,Framingham,2017,4941939800.00 ,13454.00 ,367321.00 ,6138.00 ,
101,Franklin,2009,2906337200.00 ,7553.00 ,384792.00 ,4298.00 ,112
101,Franklin,2010,2793914300.00 ,7577.00 ,368736.00 ,4436.00 ,110
101,Franklin,2011,2744081800.00 ,7599.00 ,361111.00 ,4676.00 ,105
101,Franklin,2012,2682632300.00 ,7607.00 ,352653.00 ,4842.00 ,104
101,Franklin,2013,2651054200.00 ,7618.00 ,347999.00 ,4990.00 ,106
101,Franklin,2014,2784880900.00 ,7651.00 ,363989.00 ,5260.00 ,100
101,Franklin,2015,2918642300.00 ,7656.00 ,381223.00 ,5657.00 ,91
101,Franklin,2016,3052355300.00 ,7664.00 ,398272.00 ,5775.00 ,98
101,Franklin,2017,3166111000.00 ,7688.00 ,411825.00 ,6004.00 ,
102,Freetown,2009,942537600.00 ,2938.00 ,320809.00 ,3131.00 ,227
102,Freetown,2010,918340700.00 ,2936.00 ,312786.00 ,3222.00 ,229
102,Freetown,2011,843500800.00 ,2921.00 ,288771.00 ,3292.00 ,235
102,Freetown,2012,809829700.00 ,2904.00 ,278867.00 ,3380.00 ,235
102,Freetown,2013,789458500.00 ,2901.00 ,272133.00 ,3472.00 ,237
102,Freetown,2014,807917700.00 ,2924.00 ,276306.00 ,3484.00 ,243
102,Freetown,2015,835005600.00 ,2935.00 ,284499.00 ,3670.00 ,238
102,Freetown,2016,860210300.00 ,2970.00 ,289633.00 ,3791.00 ,239
102,Freetown,2017,898382100.00 ,2993.00 ,300161.00 ,3998.00 ,
103,Gardner,2009,772397800.00 ,3874.00 ,199380.00 ,2606.00 ,290
103,Gardner,2010,701294700.00 ,3895.00 ,180050.00 ,2676.00 ,293
103,Gardner,2011,680455200.00 ,3907.00 ,174163.00 ,2729.00 ,300
103,Gardner,2012,671116900.00 ,3906.00 ,171817.00 ,2864.00 ,292
103,Gardner,2013,670651600.00 ,3909.00 ,171566.00 ,2996.00 ,282
103,Gardner,2014,633628900.00 ,3913.00 ,161929.00 ,3056.00 ,294
103,Gardner,2015,627774800.00 ,3945.00 ,159132.00 ,3179.00 ,287
103,Gardner,2016,650308100.00 ,3962.00 ,164136.00 ,3360.00 ,277
103,Gardner,2017,689881300.00 ,3977.00 ,173468.00 ,3553.00 ,
104,Aquinnah,2009,469296200.00 ,369.00 ,1271805.00 ,4439.00 ,102
104,Aquinnah,2010,473331099.00 ,379.00 ,1248895.00 ,4733.00 ,96
104,Aquinnah,2011,478614249.00 ,381.00 ,1256205.00 ,4849.00 ,96
104,Aquinnah,2012,473311149.00 ,382.00 ,1239034.00 ,4869.00 ,103
104,Aquinnah,2013,476332407.00 ,382.00 ,1246943.00 ,5387.00 ,88
104,Aquinnah,2014,488740547.00 ,389.00 ,1256402.00 ,5893.00 ,73
104,Aquinnah,2015,479452285.00 ,390.00 ,1229365.00 ,6294.00 ,70
104,Aquinnah,2016,485826497.00 ,394.00 ,1233062.00 ,6597.00 ,69
104,Aquinnah,2017,493299737.00 ,395.00 ,1248860.00 ,6869.00 ,
105,Georgetown,2009,1010603210.00 ,2394.00 ,422140.00 ,4213.00 ,117
105,Georgetown,2010,989118850.00 ,2398.00 ,412477.00 ,4364.00 ,117
105,Georgetown,2011,913010550.00 ,2410.00 ,378843.00 ,4421.00 ,120
105,Georgetown,2012,920477010.00 ,2423.00 ,379891.00 ,4973.00 ,97
105,Georgetown,2013,920191760.00 ,2437.00 ,377592.00 ,5116.00 ,100
105,Georgetown,2014,920017660.00 ,2443.00 ,376593.00 ,5291.00 ,98
105,Georgetown,2015,930071860.00 ,2452.00 ,379312.00 ,6080.00 ,74
105,Georgetown,2016,965985560.00 ,2458.00 ,392997.00 ,6237.00 ,77
105,Georgetown,2017,993894460.00 ,2470.00 ,402386.00 ,6523.00 ,
106,Gill,2009,90106785.00 ,430.00 ,209551.00 ,2728.00 ,274
106,Gill,2010,91308700.00 ,434.00 ,210389.00 ,2884.00 ,266
106,Gill,2011,91833245.00 ,436.00 ,210627.00 ,2928.00 ,269
106,Gill,2012,91035360.00 ,437.00 ,208319.00 ,3031.00 ,267
106,Gill,2013,88745505.00 ,438.00 ,202615.00 ,3108.00 ,267
106,Gill,2014,84089615.00 ,438.00 ,191985.00 ,3222.00 ,269
106,Gill,2015,83691860.00 ,436.00 ,191954.00 ,3234.00 ,280
106,Gill,2016,85368520.00 ,439.00 ,194461.00 ,3296.00 ,285
106,Gill,2017,87468905.00 ,439.00 ,199246.00 ,3303.00 ,
107,Gloucester,2009,3586973400.00 ,7149.00 ,501745.00 ,4817.00 ,83
107,Gloucester,2010,3408091900.00 ,7162.00 ,475858.00 ,4992.00 ,83
107,Gloucester,2011,3342461500.00 ,7172.00 ,466043.00 ,5271.00 ,77
107,Gloucester,2012,3246617500.00 ,7174.00 ,452553.00 ,5512.00 ,78
107,Gloucester,2013,3237550000.00 ,7173.00 ,451352.00 ,5696.00 ,76
107,Gloucester,2014,3251633900.00 ,7168.00 ,453632.00 ,5888.00 ,74
107,Gloucester,2015,3386685900.00 ,7186.00 ,471289.00 ,6433.00 ,65
107,Gloucester,2016,3541480700.00 ,7195.00 ,492214.00 ,6699.00 ,67
107,Gloucester,2017,3804146900.00 ,7196.00 ,528647.00 ,6973.00 ,
108,Goshen,2009,97064135.00 ,502.00 ,193355.00 ,2686.00 ,280
108,Goshen,2010,97341235.00 ,501.00 ,194294.00 ,2782.00 ,279
108,Goshen,2011,98175735.00 ,502.00 ,195569.00 ,2861.00 ,278
108,Goshen,2012,109963670.00 ,503.00 ,218616.00 ,2945.00 ,281
108,Goshen,2013,109597070.00 ,502.00 ,218321.00 ,3000.00 ,281
108,Goshen,2014,108887970.00 ,500.00 ,217776.00 ,3162.00 ,275
108,Goshen,2015,109102410.00 ,501.00 ,217769.00 ,3210.00 ,282
108,Goshen,2016,106170010.00 ,496.00 ,214052.00 ,3352.00 ,280
108,Goshen,2017,108459710.00 ,496.00 ,218669.00 ,3407.00 ,
109,Gosnold,2009,143198600.00 ,129.00 ,1110067.00 ,1987.00 ,325
109,Gosnold,2010,145136400.00 ,130.00 ,1116434.00 ,2021.00 ,326
109,Gosnold,2011,144621570.00 ,134.00 ,1079265.00 ,2115.00 ,326
109,Gosnold,2012,144623070.00 ,134.00 ,1079277.00 ,2385.00 ,319
109,Gosnold,2013,144623070.00 ,134.00 ,1079277.00 ,2428.00 ,319
109,Gosnold,2014,117908070.00 ,133.00 ,886527.00 ,2438.00 ,321
109,Gosnold,2015,119095070.00 ,134.00 ,888769.00 ,2222.00 ,330
109,Gosnold,2016,120592870.00 ,135.00 ,893281.00 ,2260.00 ,331
110,Grafton,2009,1543561100.00 ,4163.00 ,370781.00 ,4016.00 ,129
110,Grafton,2010,1437903400.00 ,4175.00 ,344408.00 ,4281.00 ,123
110,Grafton,2011,1384547600.00 ,4202.00 ,329497.00 ,4491.00 ,114
110,Grafton,2012,1424353500.00 ,4218.00 ,337685.00 ,4771.00 ,109
110,Grafton,2013,1379624800.00 ,4246.00 ,324923.00 ,5053.00 ,102
110,Grafton,2014,1448008400.00 ,4294.00 ,337217.00 ,5146.00 ,106
110,Grafton,2015,1479484500.00 ,4344.00 ,340581.00 ,5620.00 ,92
110,Grafton,2016,1501494600.00 ,4388.00 ,342182.00 ,5732.00 ,102
110,Grafton,2017,1610497800.00 ,4418.00 ,364531.00 ,5978.00 ,
111,Granby,2009,492701300.00 ,2033.00 ,242352.00 ,3260.00 ,205
111,Granby,2010,472314500.00 ,2035.00 ,232096.00 ,3368.00 ,202
111,Granby,2011,473291700.00 ,2030.00 ,233149.00 ,3493.00 ,201
111,Granby,2012,464194100.00 ,2032.00 ,228442.00 ,3625.00 ,201
111,Granby,2013,469081900.00 ,2035.00 ,230507.00 ,3766.00 ,197
111,Granby,2014,473120900.00 ,2045.00 ,231355.00 ,3882.00 ,201
111,Granby,2015,465453950.00 ,2052.00 ,226829.00 ,4153.00 ,187
111,Granby,2016,468811150.00 ,2058.00 ,227799.00 ,4299.00 ,186
111,Granby,2017,497870975.00 ,2028.00 ,245499.00 ,4444.00 ,
112,Granville,2009,146910800.00 ,566.00 ,259560.00 ,2855.00 ,259
112,Granville,2010,157343700.00 ,567.00 ,277502.00 ,3108.00 ,243
112,Granville,2011,153356300.00 ,569.00 ,269519.00 ,3207.00 ,241
112,Granville,2012,155114500.00 ,573.00 ,270706.00 ,3254.00 ,244
112,Granville,2013,135275200.00 ,557.00 ,242864.00 ,2939.00 ,294
112,Granville,2014,134982400.00 ,555.00 ,243212.00 ,3079.00 ,287
112,Granville,2015,132598800.00 ,558.00 ,237632.00 ,3013.00 ,300
112,Granville,2016,132548900.00 ,557.00 ,237969.00 ,3056.00 ,308
112,Granville,2017,133852100.00 ,560.00 ,239022.00 ,3308.00 ,
113,Great Barrington,2009,830725500.00 ,2091.00 ,397286.00 ,4513.00 ,98
113,Great Barrington,2010,851553900.00 ,2096.00 ,406276.00 ,4680.00 ,98
113,Great Barrington,2011,812737300.00 ,2096.00 ,387756.00 ,4715.00 ,102
113,Great Barrington,2012,786518500.00 ,2100.00 ,374533.00 ,4914.00 ,100
113,Great Barrington,2013,793524600.00 ,2110.00 ,376078.00 ,4942.00 ,108
113,Great Barrington,2014,759313900.00 ,2114.00 ,359183.00 ,4871.00 ,120
113,Great Barrington,2015,791358400.00 ,2113.00 ,374519.00 ,5138.00 ,119
113,Great Barrington,2016,799662400.00 ,2120.00 ,377199.00 ,5390.00 ,118
113,Great Barrington,2017,807460400.00 ,2121.00 ,380698.00 ,5558.00 ,
114,Greenfield,2009,734663500.00 ,3851.00 ,190772.00 ,3339.00 ,191
114,Greenfield,2010,735645900.00 ,3853.00 ,190928.00 ,3376.00 ,201
114,Greenfield,2011,714164616.00 ,3854.00 ,185305.00 ,3361.00 ,227
114,Greenfield,2012,713580457.00 ,3860.00 ,184865.00 ,3514.00 ,221
114,Greenfield,2013,677537957.00 ,3857.00 ,175664.00 ,3640.00 ,219
114,Greenfield,2014,671938957.00 ,3856.00 ,174258.00 ,3578.00 ,235
114,Greenfield,2015,673116357.00 ,3855.00 ,174609.00 ,3930.00 ,211
114,Greenfield,2016,696366057.00 ,3861.00 ,180359.00 ,3934.00 ,223
114,Greenfield,2017,704541457.00 ,3866.00 ,182240.00 ,3960.00 ,
115,Groton,2009,1322107080.00 ,3058.00 ,432344.00 ,6191.00 ,45
115,Groton,2010,1237370580.00 ,3065.00 ,403710.00 ,6371.00 ,45
115,Groton,2011,1221847080.00 ,3083.00 ,396318.00 ,6492.00 ,46
115,Groton,2012,1241345280.00 ,3110.00 ,399146.00 ,6418.00 ,49
115,Groton,2013,1240596580.00 ,3129.00 ,396483.00 ,6681.00 ,49
115,Groton,2014,1239956950.00 ,3143.00 ,394514.00 ,6857.00 ,49
115,Groton,2015,1260191250.00 ,3163.00 ,398416.00 ,7279.00 ,49
115,Groton,2016,1274928950.00 ,3176.00 ,401426.00 ,7539.00 ,49
115,Groton,2017,1361009350.00 ,3177.00 ,428395.00 ,7822.00 ,
116,Groveland,2009,674296100.00 ,1836.00 ,367264.00 ,4029.00 ,126
116,Groveland,2010,665415300.00 ,1838.00 ,362032.00 ,4319.00 ,120
116,Groveland,2011,653812200.00 ,1839.00 ,355526.00 ,4462.00 ,117
116,Groveland,2012,648716600.00 ,1842.00 ,352181.00 ,4571.00 ,122
116,Groveland,2013,613158100.00 ,1848.00 ,331796.00 ,4804.00 ,115
116,Groveland,2014,610494500.00 ,1853.00 ,329463.00 ,4962.00 ,118
116,Groveland,2015,654556400.00 ,1855.00 ,352861.00 ,5155.00 ,116
116,Groveland,2016,673644000.00 ,1864.00 ,361397.00 ,5453.00 ,111
116,Groveland,2017,727060800.00 ,1877.00 ,387353.00 ,5686.00 ,
117,Hadley,2009,498575300.00 ,1616.00 ,308524.00 ,2808.00 ,266
117,Hadley,2010,498818600.00 ,1625.00 ,306965.00 ,2861.00 ,267
117,Hadley,2011,511429300.00 ,1634.00 ,312992.00 ,3105.00 ,252
117,Hadley,2012,508562900.00 ,1637.00 ,310668.00 ,3175.00 ,249
117,Hadley,2013,504223900.00 ,1638.00 ,307829.00 ,3214.00 ,255
117,Hadley,2014,506109800.00 ,1643.00 ,308040.00 ,3278.00 ,259
117,Hadley,2015,524515500.00 ,1693.00 ,309814.00 ,3365.00 ,261
117,Hadley,2016,514152200.00 ,1649.00 ,311796.00 ,3477.00 ,263
117,Hadley,2017,519548400.00 ,1656.00 ,313737.00 ,3630.00 ,
118,Halifax,2009,689950800.00 ,2103.00 ,328079.00 ,4370.00 ,108
118,Halifax,2010,676244000.00 ,2104.00 ,321409.00 ,4497.00 ,107
118,Halifax,2011,603632000.00 ,2108.00 ,286353.00 ,4516.00 ,111
118,Halifax,2012,600747600.00 ,2118.00 ,283639.00 ,4765.00 ,112
118,Halifax,2013,579458800.00 ,2128.00 ,272302.00 ,4899.00 ,111
118,Halifax,2014,573939100.00 ,2139.00 ,268321.00 ,5010.00 ,115
118,Halifax,2015,592962300.00 ,2158.00 ,274774.00 ,5218.00 ,113
118,Halifax,2016,600422600.00 ,2174.00 ,276183.00 ,5317.00 ,120
118,Halifax,2017,651654400.00 ,2189.00 ,297695.00 ,5516.00 ,
119,Hamilton,2009,1205005300.00 ,2336.00 ,515841.00 ,7856.00 ,24
119,Hamilton,2010,1151449200.00 ,2336.00 ,492915.00 ,8030.00 ,23
119,Hamilton,2011,1110529100.00 ,2338.00 ,474991.00 ,8165.00 ,23
119,Hamilton,2012,1080555800.00 ,2343.00 ,461185.00 ,7988.00 ,29
119,Hamilton,2013,1081817700.00 ,2344.00 ,461526.00 ,7924.00 ,36
119,Hamilton,2014,1097988100.00 ,2351.00 ,467030.00 ,8126.00 ,36
119,Hamilton,2015,1160815500.00 ,2357.00 ,492497.00 ,8417.00 ,36
119,Hamilton,2016,1221665200.00 ,2361.00 ,517435.00 ,8926.00 ,34
119,Hamilton,2017,1272909400.00 ,2365.00 ,538228.00 ,9048.00 ,
120,Hampden,2009,501213200.00 ,1783.00 ,281107.00 ,4000.00 ,132
120,Hampden,2010,488374900.00 ,1784.00 ,273753.00 ,4336.00 ,118
120,Hampden,2011,489202600.00 ,1787.00 ,273756.00 ,4282.00 ,131
120,Hampden,2012,477817200.00 ,1788.00 ,267236.00 ,4508.00 ,128
120,Hampden,2013,469412200.00 ,1789.00 ,262388.00 ,4579.00 ,131
120,Hampden,2014,467168700.00 ,1791.00 ,260842.00 ,4695.00 ,131
120,Hampden,2015,464252500.00 ,1792.00 ,259069.00 ,4917.00 ,133
120,Hampden,2016,466874500.00 ,1797.00 ,259808.00 ,5030.00 ,139
120,Hampden,2017,456442960.00 ,1750.00 ,260825.00 ,5031.00 ,
121,Hancock,2009,68024750.00 ,290.00 ,234568.00 ,699.00 ,337
121,Hancock,2010,69882650.00 ,295.00 ,236890.00 ,824.00 ,337
121,Hancock,2011,72312600.00 ,297.00 ,243477.00 ,757.00 ,338
121,Hancock,2012,69590600.00 ,299.00 ,232744.00 ,759.00 ,338
121,Hancock,2013,71661400.00 ,302.00 ,237289.00 ,674.00 ,338
121,Hancock,2014,71678000.00 ,302.00 ,237344.00 ,674.00 ,338
121,Hancock,2015,71342700.00 ,307.00 ,232387.00 ,660.00 ,338
121,Hancock,2016,72703900.00 ,309.00 ,235288.00 ,565.00 ,338
121,Hancock,2017,73661400.00 ,308.00 ,239160.00 ,703.00 ,
122,Hanover,2009,1825216500.00 ,4075.00 ,447906.00 ,5267.00 ,61
122,Hanover,2010,1752721300.00 ,4090.00 ,428538.00 ,5747.00 ,55
122,Hanover,2011,1710355300.00 ,4110.00 ,416145.00 ,5901.00 ,57
122,Hanover,2012,1717342100.00 ,4118.00 ,417033.00 ,6255.00 ,53
122,Hanover,2013,1744124600.00 ,4124.00 ,422921.00 ,6576.00 ,50
122,Hanover,2014,1713881600.00 ,4143.00 ,413681.00 ,6706.00 ,53
122,Hanover,2015,1812480800.00 ,4159.00 ,435797.00 ,7038.00 ,50
122,Hanover,2016,1875933700.00 ,4172.00 ,449649.00 ,7581.00 ,48
122,Hanover,2017,1975543800.00 ,4176.00 ,473071.00 ,7815.00 ,
123,Hanson,2009,1074847900.00 ,3090.00 ,347847.00 ,3725.00 ,159
123,Hanson,2010,1005055000.00 ,3099.00 ,324316.00 ,3885.00 ,156
123,Hanson,2011,1010821900.00 ,3105.00 ,325547.00 ,3939.00 ,160
123,Hanson,2012,972329900.00 ,3112.00 ,312445.00 ,3977.00 ,168
123,Hanson,2013,959229800.00 ,3120.00 ,307445.00 ,4403.00 ,146
123,Hanson,2014,887863000.00 ,3120.00 ,284571.00 ,4402.00 ,159
123,Hanson,2015,894247600.00 ,3125.00 ,286159.00 ,4556.00 ,159
123,Hanson,2016,917008000.00 ,3139.00 ,292134.00 ,4835.00 ,151
123,Hanson,2017,943487400.00 ,3146.00 ,299901.00 ,4792.00 ,
124,Hardwick,2009,175685200.00 ,678.00 ,259123.00 ,2462.00 ,307
124,Hardwick,2010,161639100.00 ,683.00 ,236660.00 ,2617.00 ,301
124,Hardwick,2011,146117600.00 ,681.00 ,214563.00 ,2661.00 ,301
124,Hardwick,2012,144623400.00 ,684.00 ,211438.00 ,2816.00 ,296
124,Hardwick,2013,143559000.00 ,681.00 ,210806.00 ,2939.00 ,295
124,Hardwick,2014,129670700.00 ,680.00 ,190692.00 ,3017.00 ,297
124,Hardwick,2015,132501000.00 ,677.00 ,195718.00 ,3112.00 ,292
124,Hardwick,2016,138699000.00 ,676.00 ,205176.00 ,3236.00 ,295
124,Hardwick,2017,137763700.00 ,675.00 ,204094.00 ,3266.00 ,
125,Harvard,2009,1022845200.00 ,1651.00 ,619531.00 ,8320.00 ,17
125,Harvard,2010,985047100.00 ,1655.00 ,595195.00 ,8529.00 ,18
125,Harvard,2011,931387600.00 ,1659.00 ,561415.00 ,8685.00 ,19
125,Harvard,2012,909100400.00 ,1666.00 ,545679.00 ,8862.00 ,21
125,Harvard,2013,911908600.00 ,1667.00 ,547036.00 ,9125.00 ,20
125,Harvard,2014,918284500.00 ,1680.00 ,546598.00 ,9341.00 ,20
125,Harvard,2015,919666200.00 ,1759.00 ,522835.00 ,9301.00 ,23
125,Harvard,2016,933610680.00 ,1756.00 ,531669.00 ,9597.00 ,24
125,Harvard,2017,949185680.00 ,1685.00 ,563315.00 ,10196.00 ,
126,Harwich,2009,4203156200.00 ,8332.00 ,504459.00 ,3153.00 ,226
126,Harwich,2010,3986461800.00 ,8340.00 ,477993.00 ,3360.00 ,208
126,Harwich,2011,3752175200.00 ,8369.00 ,448342.00 ,3452.00 ,209
126,Harwich,2012,3702619400.00 ,8385.00 ,441577.00 ,3586.00 ,209
126,Harwich,2013,3615690100.00 ,8408.00 ,430030.00 ,3690.00 ,208
126,Harwich,2014,3665247600.00 ,8426.00 ,434993.00 ,3815.00 ,203
126,Harwich,2015,3803759400.00 ,8446.00 ,450362.00 ,4040.00 ,201
126,Harwich,2016,3904473300.00 ,8480.00 ,460433.00 ,4176.00 ,202
126,Harwich,2017,4045877400.00 ,8517.00 ,475036.00 ,4261.00 ,
127,Hatfield,2009,292891000.00 ,1010.00 ,289991.00 ,3086.00 ,234
127,Hatfield,2010,305511700.00 ,1047.00 ,291797.00 ,3172.00 ,232
127,Hatfield,2011,294154400.00 ,990.00 ,297126.00 ,3221.00 ,239
127,Hatfield,2012,292379000.00 ,994.00 ,294144.00 ,3156.00 ,251
127,Hatfield,2013,285096700.00 ,993.00 ,287106.00 ,3531.00 ,231
127,Hatfield,2014,283686100.00 ,998.00 ,284255.00 ,3602.00 ,233
127,Hatfield,2015,287559000.00 ,1004.00 ,286413.00 ,3772.00 ,229
127,Hatfield,2016,300773000.00 ,1003.00 ,299873.00 ,3952.00 ,221
127,Hatfield,2017,301814200.00 ,1002.00 ,301212.00 ,3982.00 ,
128,Haverhill,2009,2983135800.00 ,10152.00 ,293847.00 ,3365.00 ,188
128,Haverhill,2010,2771879500.00 ,10181.00 ,272260.00 ,3474.00 ,191
128,Haverhill,2011,2676135820.00 ,10220.00 ,261853.00 ,3648.00 ,184
128,Haverhill,2012,2626751300.00 ,10261.00 ,255994.00 ,3778.00 ,181
128,Haverhill,2013,2517954100.00 ,10290.00 ,244699.00 ,3830.00 ,191
128,Haverhill,2014,2537636600.00 ,10333.00 ,245586.00 ,3951.00 ,194
128,Haverhill,2015,2778679500.00 ,10368.00 ,268005.00 ,4114.00 ,193
128,Haverhill,2016,2821306200.00 ,10386.00 ,271645.00 ,4172.00 ,203
128,Haverhill,2017,2993606100.00 ,10411.00 ,287543.00 ,4310.00 ,
129,Hawley,2009,28780000.00 ,135.00 ,213185.00 ,2825.00 ,264
129,Hawley,2010,28651500.00 ,135.00 ,212233.00 ,3109.00 ,242
129,Hawley,2011,29240300.00 ,137.00 ,213433.00 ,3127.00 ,250
129,Hawley,2012,29615900.00 ,141.00 ,210042.00 ,3424.00 ,233
129,Hawley,2013,30733300.00 ,144.00 ,213426.00 ,3404.00 ,241
129,Hawley,2014,31147400.00 ,145.00 ,214810.00 ,3448.00 ,245
129,Hawley,2015,32520300.00 ,142.00 ,229016.00 ,3607.00 ,241
129,Hawley,2016,32921800.00 ,145.00 ,227047.00 ,3519.00 ,258
129,Hawley,2017,33111500.00 ,145.00 ,228355.00 ,3540.00 ,
