DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
009,Andover,2015,4957731100.00 ,8582.00 ,577689.00 ,8648.00 ,32
009,Andover,2016,5186307200.00 ,8593.00 ,603550.00 ,8945.00 ,33
009,Andover,2017,5200894400.00 ,8610.00 ,604053.00 ,9170.00 ,
010,Arlington,2009,3712241500.00 ,7967.00 ,465952.00 ,5554.00 ,57
010,Arlington,2010,3807245400.00 ,7978.00 ,477218.00 ,5779.00 ,54
010,Arlington,2011,3828050100.00 ,7986.00 ,479345.00 ,5949.00 ,55
010,Arlington,2012,3836136600.00 ,7982.00 ,480598.00 ,6565.00 ,47
010,Arlington,2013,4013979200.00 ,7984.00 ,502753.00 ,6842.00 ,48
010,Arlington,2014,4110229200.00 ,7984.00 ,514808.00 ,7099.00 ,48
010,Arlington,2015,4308739100.00 ,7991.00 ,539199.00 ,7306.00 ,48
010,Arlington,2016,4682885700.00 ,8000.00 ,585361.00 ,7493.00 ,50
010,Arlington,2017,4966268100.00 ,7994.00 ,621249.00 ,7803.00 ,
011,Ashburnham,2009,592026600.00 ,2372.00 ,249590.00 ,3464.00 ,179
011,Ashburnham,2010,541441800.00 ,2374.00 ,228072.00 ,3683.00 ,172
011,Ashburnham,2011,521370000.00 ,2386.00 ,218512.00 ,3747.00 ,175
011,Ashburnham,2012,489817400.00 ,2391.00 ,204859.00 ,3757.00 ,186
011,Ashburnham,2013,491195745.00 ,2396.00 ,205007.00 ,3864.00 ,189
011,Ashburnham,2014,482721599.00 ,2395.00 ,201554.00 ,3997.00 ,187
011,Ashburnham,2015,483774799.00 ,2399.00 ,201657.00 ,4493.00 ,163
011,Ashburnham,2016,486091699.00 ,2402.00 ,202370.00 ,4604.00 ,166
011,Ashburnham,2017,492720339.00 ,2414.00 ,204110.00 ,4688.00 ,
012,Ashby,2009,281015500.00 ,1064.00 ,264112.00 ,3159.00 ,224
012,Ashby,2010,257816174.00 ,1063.00 ,242536.00 ,3308.00 ,218
012,Ashby,2011,242306500.00 ,1067.00 ,227091.00 ,3384.00 ,223
012,Ashby,2012,228627100.00 ,1077.00 ,212281.00 ,3486.00 ,225
012,Ashby,2013,228627700.00 ,1084.00 ,210911.00 ,3685.00 ,209
012,Ashby,2014,216362500.00 ,1087.00 ,199046.00 ,3802.00 ,205
