JURISDICTIONCODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
009,Andover,2009,"69,977,374","136,135","11,661,921","12,978,067","3,223,256","97,976,753",71.56,28.44
009,Andover,2010,"72,056,708","143,330","12,081,704","13,328,125","3,680,249","101,290,116",71.28,28.72
009,Andover,2011,"74,257,417","151,001","12,419,187","13,308,940","4,521,755","104,658,300",71.10,28.90
009,Andover,2012,"76,984,793","113,354","12,892,759","13,622,414","5,260,836","108,874,156",70.81,29.19
009,Andover,2013,"78,962,157","121,766","13,197,696","13,926,800","5,685,094","111,893,513",70.68,29.32
009,Andover,2014,"83,108,866","127,661","13,675,812","14,606,885","5,987,208","117,506,432",70.84,29.16
009,Andover,2015,"86,725,221","119,137","14,380,182","14,902,209","6,107,014","122,233,763",71.05,28.95
009,Andover,2016,"90,553,288","107,544","14,908,468","15,684,344","6,443,227","127,696,871",71,29
010,Arlington,2009,"76,075,616",0,"3,633,624","259,705","977,062","80,946,007",93.98,6.02
010,Arlington,2010,"78,508,301",0,"3,560,968","253,944","1,147,823","83,471,036",94.05,5.95
010,Arlington,2011,"80,795,883",0,"3,677,868","260,235","1,224,988","85,958,974",93.99,6.01
010,Arlington,2012,"89,256,859",0,"4,060,401","286,447","1,398,787","95,002,494",93.95,6.05
010,Arlington,2013,"91,871,472",0,"4,522,048","219,793","1,396,068","98,009,381",93.74,6.26
010,Arlington,2014,"95,492,211",0,"4,568,536","222,700","1,454,062","101,737,509",93.86,6.14
010,Arlington,2015,"99,161,685",0,"4,498,718","218,824","1,405,794","105,285,021",94.18,5.82
010,Arlington,2016,"102,433,220",0,"4,849,908","225,134","1,469,639","108,977,901",93.99,6.01
011,Ashburnham,2009,"9,208,378",0,"214,045","71,700","97,181","9,591,304",96.01,3.99
011,Ashburnham,2010,"9,699,773",0,"234,085","79,905","120,997","10,134,760",95.71,4.29
011,Ashburnham,2011,"9,924,890",0,"244,296","86,914","150,122","10,406,222",95.37,4.63
011,Ashburnham,2012,"10,060,587",0,"251,420","87,520","160,122","10,559,649",95.27,4.73
011,Ashburnham,2013,"10,283,729",0,"262,332","86,278","164,595","10,796,934",95.25,4.75
011,Ashburnham,2014,"10,616,311",0,"257,050","84,500","155,413","11,113,274",95.53,4.47
011,Ashburnham,2015,"11,945,901",0,"285,275","91,600","241,485","12,564,261",95.08,4.92
011,Ashburnham,2016,"12,239,142",0,"302,459","93,987","237,412","12,873,000",95.08,4.92
012,Ashby,2009,"3,980,782",0,"143,761","13,400","69,625","4,207,568",94.61,5.39
012,Ashby,2010,"4,133,547",0,"122,014","13,745","84,499","4,353,805",94.94,5.06
012,Ashby,2011,"4,261,242",0,"105,894","14,188","123,270","4,504,594",94.60,5.40
012,Ashby,2012,"4,362,101",0,"130,525","11,734","132,662","4,637,022",94.07,5.93
012,Ashby,2013,"4,630,375",0,"151,206","12,259","148,779","4,942,619",93.68,6.32
012,Ashby,2014,"4,750,690",0,"165,335","12,226","175,148","5,103,399",93.09,6.91
012,Ashby,2015,"4,900,580",0,"166,142","13,014","182,321","5,262,057",93.13,6.87
012,Ashby,2016,"5,046,261",0,"172,069","13,401","191,473","5,423,204",93.05,6.95
013,Ashfield,2009,"2,698,856",0,"125,543","22,604","87,705","2,934,708",91.96,8.04
013,Ashfield,2010,"2,778,461",0,"117,194","13,125","84,953","2,993,733",92.81,7.19
013,Ashfield,2011,"2,868,833",0,"118,441","13,513","97,775","3,098,562",92.59,7.41
013,Ashfield,2012,"2,979,425",0,"123,406","14,432","112,088","3,229,351",92.26,7.74
